id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
764	abarbanel h.d.i.	-1.0932	-0.2218	5	231	1926	63
809	abbott l.f.	-0.2566	-0.5102	3	336	5188	230
1122	adamatzky a.	0.1861	-0.2388	6	236	1644	74
1580	aihara k.	-0.5231	-0.2463	5	304	3152	149
1632	akai-kasaya m.	0.4808	-0.2688	7	315	2961	94
2085	alimi a.m.	-0.5016	0.0537	2	259	2993	194
2087	alippi c.	-1.0849	-0.2335	3	230	2397	114
2374	amann a.	-1.4704	-0.2803	5	158	1404	61
2885	ang k.-w.	1.4496	0.0699	1	216	1590	43
3050	aono m.	1.2574	-0.4328	1	272	6396	174
3076	appeltant l.	-0.4231	0.2096	4	335	5867	325
3238	argyris a.	-0.7331	0.9242	4	207	2068	95
3434	asada m.	-0.8083	-0.5147	3	313	5354	239
3448	asai t.	0.4042	-0.3472	7	292	1891	53
3912	ba j.	-0.3641	-0.1849	3	260	1337	95
4513	barak o.	-1.3244	-0.658	3	198	1583	70
4573	barbosa w.a.s.	0.0116	-0.0662	5	354	3469	141
4828	bassett d.s.	-0.9845	-0.3837	5	256	2541	96
4856	basu a.	0.3594	-0.3072	3	254	1399	58
5327	bengio y.	-0.5378	-0.1292	3	355	9588	531
5855	bienstman p.	-0.2575	0.2519	4	371	16799	688
6375	bollt e.	-0.9368	-0.0898	5	302	3212	131
7185	brown s.a.	0.8475	-0.5292	7	240	3720	120
7250	brunner d.	-0.7979	0.4248	4	305	5189	256
7462	buonomano d.v.	-0.9615	-0.8246	3	210	1647	61
7917	campenhout j.v.	-0.364	0.1169	4	283	1846	76
8015	cao h.	0.1938	0.8684	4	132	1441	42
8274	carroll t.l.	-0.9941	0.0868	5	316	5893	226
8617	chai y.	1.1246	0.0578	1	307	6697	229
9129	chembo y.k.	-0.4119	1.0537	4	243	4845	85
9189	chen g.	-0.3033	-0.0212	2	307	1500	77
9197	chen h.	0.4303	0.3439	2	310	2781	174
9218	chen j.	0.5484	0.1755	1	346	3717	164
9238	chen l.	0.2364	0.0159	1	340	3554	175
9295	chen s.	0.083	0.4466	4	278	1546	74
9324	chen w.	0.5435	0.2616	2	271	1630	87
9344	chen x.	0.6515	0.3314	1	341	6123	205
9361	chen y.	0.3264	0.0779	1	363	5188	216
9392	chen z.	0.2223	0.3813	2	313	1936	84
9510	cherry e.m.	-0.3649	-0.1553	5	243	1327	59
9750	choe y.	-0.2351	-0.4044	3	249	1498	73
9756	choi c.	1.6952	0.0566	1	219	3078	60
9794	choi s.	1.0567	-0.086	1	271	1827	63
10020	chua l.	0.2643	-0.2459	1	339	5262	172
10023	chua l.o.	0.4894	-0.1774	1	316	3319	112
10750	conti c.	-0.4176	0.2851	4	211	1634	69
10973	cottrell g.w.	-0.6378	-0.031	2	288	3184	190
10999	courville a.	-0.1872	-0.115	5	335	2811	148
11647	dambre j.	-0.8916	0.1141	4	299	4271	183
11812	das s.	0.4541	0.0082	1	261	1290	64
11875	datta s.	0.8267	-0.3102	1	255	2948	104
11977	dawes j.	-1.1254	-0.0473	5	218	1645	73
12331	debbah m.	-0.0148	0.3813	2	152	1025	126
12630	demiris y.	-0.6521	0.1986	2	229	1654	109
13554	dominey p.f.	-0.392	-0.5141	3	312	4240	173
13784	doya k.	-0.7765	-0.3354	3	242	1574	66
13894	du c.	0.1122	0.0857	6	275	1765	86
13944	duan c.	1.0135	-0.044	1	226	1537	52
14752	eleftheriou e.	0.846	-0.1716	1	294	2701	100
14831	elman j.l.	-0.6519	-0.1207	3	226	1237	73
15167	erneux t.	-0.7096	1.2431	4	183	2825	76
15177	erokhin v.	1.6827	-0.3244	1	177	2458	45
15409	everschor-sitte k.	0.2814	-0.4309	6	301	3819	141
15676	fan s.	0.0567	0.2069	4	245	1272	54
16454	fischer i.	-0.3059	0.2409	4	376	45526	2023
16992	frasconi p.	-0.3366	-0.2256	3	291	2078	112
17616	gallicchio c.	-0.6252	-0.457	3	277	2177	119
17749	gao b.	0.7301	-0.0137	1	253	1365	47
17756	gao f.	0.0071	0.5361	2	164	1231	110
18048	gauthier d.j.	-0.9592	0.2842	5	333	7077	271
18338	gershenfeld n.a.	-1.2464	0.7173	4	180	1441	69
18350	gerstner w.	-0.4225	-0.6316	3	201	1547	79
18608	gigan s.	-0.3234	0.4438	4	309	4396	166
18695	gimzewski j.k.	0.5291	-0.5127	7	317	6843	206
18753	girvan m.	-1.1438	-0.0342	5	241	1537	71
18806	glass l.	-0.2383	0.0096		355	4558	221
19525	grebogi c.	-1.031	0.158	5	154	1621	72
19683	grollier j.	0.344	-0.2014	6	360	10674	376
20089	guo x.	0.9223	0.3513	1	284	2696	100
20297	haas h.	-0.5086	0.0233	5	376	26735	1608
20391	haffner p.	0.1595	-0.0281	3	295	1691	92
20728	han m.	-0.5577	0.1812	2	276	3953	304
20743	han s.-t.	1.4315	-0.0149	1	285	8105	113
20859	hao j.	1.364	0.168	1	212	1503	34
20865	hao k.	-0.703	0.0109	2	222	1430	68
20883	hao y.	0.2035	0.6494	4	302	5504	214
21024	harris j.g.	-0.6456	-0.0703	2	258	2575	155
21173	hashimoto t.	-0.2523	0.161	4	313	2691	110
21280	hauser h.	-0.6788	-0.3968	3	283	2204	106
21335	haycock p.w.	-0.2615	-0.2382	2	244	1493	86
21353	haykin s.	-0.8203	-0.0634	2	297	3217	198
21827	hersam m.c.	1.4133	-0.0222	1	234	3080	54
22048	hinaut x.	-0.8747	-0.1887	3	239	1541	94
22072	hinton g.	-0.0117	-0.001	3	373	8373	419
22075	hinton g.e.	-0.1438	0.0905	3	323	2438	132
22114	hirose a.	0.1307	-0.1261	6	377	20316	977
22143	hissel d.	-0.2636	0.2992	2	177	1410	103
22532	hopfield j.j.	-0.0416	-0.4026	3	317	2486	89
22772	hramov a.e.	-0.8697	0.1661	5	115	1528	97
22906	hu w.	0.5103	0.5778	4	290	3174	109
23010	huang j.	0.8623	-0.0247	1	291	2785	128
23040	huang r.	1.3694	-0.1569	1	298	5789	145
23056	huang w.	1.0658	0.266	1	296	4086	112
23320	hurtado a.	-0.2388	0.7792	4	202	1458	67
23430	hwang c.s.	1.5743	-0.0104	1	280	7386	222
23440	hwang h.	1.6561	0.0088	1	245	6805	158
23754	ielmini d.	1.3954	-0.1067	1	288	4903	131
24028	indiveri g.	0.339	-0.2778	3	289	2120	131
24513	izhikevich e.m.	-0.0382	-0.3143	3	266	1595	100
24631	jacquot m.	-0.6278	0.3934	4	336	5674	221
24650	jaeger h.	-0.3676	-0.1273	3	377	71641	4823
24838	jang h.w.	1.4656	0.0403	1	214	1535	43
25093	jenssen r.	-0.5771	-0.006	2	321	3840	230
25105	jeon s.	1.742	0.1113	1	144	2130	92
25281	jiang j.	0.5501	0.3978	1	263	1358	53
25436	jin y.	-0.5931	-0.0797	2	263	2290	123
25970	jungling t.	-1.6008	0.0299	5	206	1722	70
26201	kalinikos b.a.	-0.0335	0.1159	6	201	1478	70
27512	kiebel s.j.	-0.8842	-0.3048	3	328	5226	266
27608	kim h.	0.7391	0.0694	1	249	1338	61
27633	kim j.	0.8174	0.0351	1	290	2408	95
27689	kim s.	1.4373	0.1044	1	322	16824	754
27812	kinoshita k.	0.6476	-0.1124	7	255	2106	84
27929	kitagawa m.	-0.5033	-0.4852	6	271	2522	94
28005	kleemann h.	0.1681	-0.097	6	338	2901	107
28155	kobayashi k.	-0.806	1.1653	4	191	1697	81
28409	konkoli z.	0.1752	-0.2083	6	306	2958	80
28636	koumoutsakos p.	-0.5598	-0.2747	5	324	4451	227
28980	kubota h.	0.2983	-0.5647	6	266	3441	126
29008	kudithipudi d.	0.1795	-0.2087	3	328	4138	157
29164	kuncic z.	0.678	-0.5225	7	268	3213	92
29184	kuniyoshi y.	-0.9597	-0.5864	3	227	2268	70
29262	kurths j.	-0.9287	-0.1213	5	274	4433	212
29313	kutz j.n.	-1.0568	-0.2743	5	208	1823	102
29576	lai y.-c.	-1.5196	-0.0825	5	284	8123	387
29801	langton c.g.	-0.4958	-0.5054	3	253	1403	58
29812	lanza m.	1.4821	0.0893	1	229	2464	48
29855	larger l.	-0.4346	0.679	4	357	14281	464
30303	lee j.	0.196	0.233	2	277	1374	86
30311	lee j.-s.	1.4773	0.0289	1	234	2509	56
30321	lee j.m.	-0.52	0.1381	2	190	1177	85
30374	lee s.	0.7797	0.1688	1	264	1760	76
30409	lee t.-w.	1.3129	-0.0414	1	234	1471	42
30479	legenstein r.	-0.7045	-0.4829	3	277	2273	97
30653	leo k.	0.6597	-0.3102	1	274	1487	40
30913	li c.	-0.1998	-0.0573	2	322	3349	200
30937	li f.	0.1989	0.0866	2	260	1267	66
30955	li h.	0.2799	-0.0074	2	362	4898	266
30978	li j.	0.2971	0.0593	2	334	2567	150
31002	li l.	0.1817	0.0395	2	320	2188	126
31015	li m.	0.0932	0.6072	4	264	2309	88
31025	li n.	-0.6693	0.5808	4	258	2205	104
31032	li p.	-0.2496	-0.0125	3	331	5266	264
31042	li q.	0.5394	-0.0213	1	257	1339	59
31063	li s.	0.0857	-0.1191	2	357	4112	252
31092	li w.	0.1383	0.0438	2	349	4865	228
31109	li x.	0.2329	-0.0131	1	371	6278	317
31137	li y.	0.2398	0.0378	2	356	6407	387
31170	li z.	0.2339	0.2749	2	324	2137	122
31361	liew t.c.h.	-0.7057	-0.1894	6	247	2108	74
31787	liu c.	0.1481	0.3993	4	307	2078	97
31800	liu d.	-0.2186	0.55	2	242	1954	105
31826	liu h.	-0.0069	0.1696	2	293	2720	180
31842	liu j.	0.3828	0.2332	2	334	3202	176
31848	liu j.-m.	0.6441	0.572	1	274	2746	65
31864	liu k.	0.3925	-0.0134	2	303	2156	102
31871	liu l.	0.1145	-0.0415	2	348	4181	257
31880	liu m.	1.1221	-0.0255	1	320	6677	212
31891	liu q.	0.7504	-0.1198	1	336	4226	138
31911	liu s.	0.048	0.015	2	303	1921	111
31950	liu x.	0.2001	-0.0026	2	330	2510	161
31972	liu y.	0.507	0.0703	1	352	6784	359
31998	liu z.	0.5853	0.2367	1	309	3358	171
32024	livi l.	-1.2911	-0.1374	5	210	1405	61
32070	lloyd s.	-0.6713	-0.319	6	189	1373	66
32230	long s.	1.1976	-0.0309	1	261	2311	71
32327	lorenz e.n.	-1.0955	-0.0443	5	292	4043	200
32560	lu w.	1.0116	0.0735	1	323	6483	205
32564	lu w.d.	0.851	-0.0904	1	368	22880	759
32653	ludermir t.b.	-0.6291	-0.3176	2	218	1383	67
32659	ludge k.	-0.5602	0.3291	4	328	8071	297
32723	lukosevicius m.	-0.6616	-0.1217	2	357	9779	644
33074	maass w.	-0.3773	-0.4564	3	372	17774	771
33332	magri l.	-1.1991	-0.1274	5	236	3978	274
33573	maleki l.	-0.1671	1.3734	4	134	3496	43
34120	markovic d.	-0.2427	-0.0868	6	268	1566	57
34125	markram h.	-0.3247	-0.0848	3	377	30154	1612
34247	martens j.-p.	-0.7837	-0.1406	3	303	3329	149
34483	massar s.	-0.4692	0.25	4	374	36469	1540
34558	mathews n.	1.6073	0.0627	1	212	1822	40
34621	matsumoto t.	0.3536	-0.0423	7	290	2048	84
35107	mead c.	0.5476	-0.253	1	264	1423	64
35710	miao f.	1.5907	0.1512	1	211	1511	37
35722	miao x.	1.5234	0.0659	1	219	2156	44
35760	micheli a.	-0.6193	-0.1406	3	359	12202	722
35856	mikolajick t.	1.6355	-0.0912	1	211	2488	68
36134	mirasso c.r.	-0.9146	0.3853	4	263	3225	141
36201	misic b.	-0.4643	-0.5404	3	227	1388	50
36290	miwa s.	0.0245	-0.5833	6	250	1784	68
36440	modha d.s.	0.529	-0.1735	1	256	1419	47
36817	moon j.	0.2303	0.1273	6	274	1688	92
37556	munoz m.a.	-0.3512	-0.8773	3	145	1205	42
37971	nakajima k.	-0.2475	-0.3887	6	367	18232	804
37989	nakamura y.	-0.5961	-0.0347	3	251	1251	71
38017	nakayama t.	0.9309	-0.5634	7	220	2327	56
38228	natschlager t.	-0.3407	-0.4709	3	336	4882	191
39660	ohki t.a.	-0.4355	-0.2809	6	239	1347	39
39669	ohno h.	0.8477	-0.6391	6	201	1564	57
40155	ortega j.-p.	-1.0021	-0.1418	5	342	10104	455
40250	ostojic s.	-1.0998	-0.6661	3	184	1190	36
40285	ott e.	-1.0068	-0.0339	5	369	25064	1306
40769	pan s.	0.468	0.9548	4	184	2071	31
40820	panda p.	0.6296	-0.1182	1	267	1576	72
40983	paquot y.	-0.5087	0.3657	4	266	2820	145
41174	parlitz u.	-1.3514	0.1132	5	297	5675	236
41179	parlos a.g.	-0.1915	-0.2385	7	332	3179	140
41492	pavesi l.	-0.364	0.6022	4	224	2195	126
41575	pecora l.m.	-1.337	0.0303	5	231	1639	65
41600	pedrelli l.	-0.4413	-0.0014	2	366	10976	589
41723	peng h.	0.4212	0.4036	2	258	1281	47
41882	perez-jimenez m.j.	-0.3176	0.4557	2	82	1746	57
