764	809	2
764	1122	2
764	1580	19
764	1632	2
764	2085	1
764	2087	2
764	2374	13
764	2885	1
764	3076	3
764	3434	24
764	3448	3
764	4573	19
764	4828	28
764	4856	1
764	5327	15
764	5855	4
764	6375	22
764	7185	2
764	7250	7
764	7462	2
764	7917	1
764	8274	65
764	9129	5
764	9189	1
764	9218	1
764	9238	3
764	9295	2
764	9392	1
764	9510	9
764	10020	4
764	10023	7
764	10973	5
764	10999	12
764	11647	5
764	11875	2
764	11977	13
764	12630	1
764	13554	7
764	13784	2
764	13944	1
764	14831	8
764	15167	1
764	16454	39
764	18048	58
764	18338	2
764	18350	2
764	18608	1
764	18695	3
764	18753	7
764	18806	2
764	19525	1
764	19683	1
764	20089	1
764	20297	39
764	20391	1
764	20728	9
764	20743	2
764	20883	1
764	21024	3
764	21173	5
764	21280	2
764	21353	3
764	22072	1
764	22114	16
764	22532	2
764	22772	2
764	23010	1
764	23056	1
764	24028	2
764	24513	2
764	24631	8
764	24650	110
764	25093	11
764	25970	17
764	26201	1
764	27512	15
764	27689	1
764	27812	2
764	28005	5
764	28155	1
764	28409	13
764	28636	25
764	28980	4
764	29008	1
764	29164	9
764	29184	2
764	29262	27
764	29313	9
764	29576	45
764	29801	3
764	29855	5
764	30303	1
764	30321	1
764	30479	1
764	30937	1
764	30955	3
764	30978	2
764	31002	1
764	31025	3
764	31063	4
764	31109	2
764	31137	1
764	31170	2
764	31361	5
764	31800	1
764	31826	1
764	31848	1
764	31880	1
764	31891	1
764	31911	4
764	31972	5
764	31998	1
764	32024	4
764	32070	1
764	32230	1
764	32327	37
764	32560	1
764	32564	12
764	32653	1
764	32659	25
764	32723	18
764	33074	11
764	33332	28
764	33573	1
764	34120	2
764	34125	46
764	34247	3
764	34483	27
764	34621	2
764	35760	7
764	36134	4
764	37556	1
764	37971	11
764	38017	2
764	38228	4
764	39660	1
764	40155	24
764	40250	1
764	40285	143
764	40983	1
764	41174	47
764	41179	6
764	41492	1
764	41575	10
764	41600	14
764	42020	5
764	42168	4
764	43479	8
764	43794	1
764	44019	15
764	45000	33
764	45766	5
764	46424	1
764	46751	1
764	46756	25
764	47199	1
764	48454	20
764	48571	3
764	48621	19
764	48633	17
764	48720	6
764	49021	4
764	50277	3
764	50550	12
764	51116	15
764	51385	7
764	51506	6
764	51626	1
764	51676	15
764	51954	1
764	52286	5
764	52378	3
764	52675	14
764	52688	17
764	53044	4
764	53406	4
764	53457	28
764	53692	9
764	53706	15
764	53875	7
764	53878	1
764	54003	4
764	54416	2
764	54487	1
764	55041	11
764	55347	2
764	55577	3
764	55906	5
764	55970	1
764	56177	14
764	56705	5
764	56783	5
764	57350	3
764	58308	1
764	58352	2
764	58495	3
764	58523	7
