id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
822	abarbanel h.d.i.	-0.9141	0.325	6	244	1998	68
869	abbott l.f.	-0.3274	-0.2169	4	341	5730	268
1200	adamatzky a.	0.2868	0.2871	7	228	1599	76
1688	aihara k.	-0.3684	0.1578	6	310	3229	156
1745	akai-kasaya m.	0.6347	0.2681	2	308	2924	94
2217	alimi a.m.	-0.4511	-0.7112	3	272	3081	194
2219	alippi c.	-1.0894	-0.5839	3	241	2450	114
2526	amann a.	-1.1835	0.6621	6	161	1406	61
3253	aono m.	1.3563	-0.0794	2	266	6398	186
3283	appeltant l.	-0.1258	0.5162	5	345	6191	340
3454	argyris a.	-0.1578	1.2429	5	208	2085	96
3662	asada m.	-0.7476	-0.1076	4	331	5779	268
3676	asai t.	0.512	0.1309	2	291	1909	54
4170	ba j.	-0.3107	-0.1571	3	265	1342	95
4824	barak o.	-1.361	-0.2602	4	208	1589	71
4885	barbosa w.a.s.	0.0801	0.1485	6	349	3415	141
5153	bassett d.s.	-0.7674	0.2979	6	255	2527	96
5182	basu a.	0.3104	-0.357	4	249	1402	59
5688	bengio y.	-0.555	-0.4643	3	363	10021	558
6261	bienstman p.	-0.0661	0.5171	5	370	17535	745
6444	bishop c.m.	-0.6731	-0.2724	3	251	1639	114
6825	bollt e.	-0.8145	0.301	6	305	3200	131
7701	brown s.a.	1.0809	0.1217	2	234	3650	120
7772	brunner d.	-0.4454	0.7866	5	316	5199	257
7999	buonomano d.v.	-1.0319	-0.0402	4	228	1868	73
8495	campenhout j.v.	-0.4867	0.1313	4	302	2754	137
8893	carroll t.l.	-0.8512	0.5615	6	314	5894	229
9260	chai y.	1.1368	-0.249	2	303	6342	229
9795	chembo y.k.	0.0001	1.0429	5	240	4302	85
9858	chen g.	-0.2021	0.0749	1	309	1580	88
9868	chen h.	0.4004	-0.1556	1	303	2734	178
9890	chen j.	0.6047	-0.1713	2	340	3652	169
9911	chen l.	0.2321	-0.0969	2	340	3583	184
9970	chen s.	0.0612	0.1933	1	278	1547	77
10002	chen w.	0.5434	-0.512	1	264	1593	91
10024	chen x.	0.6769	-0.0426	2	338	5802	207
10042	chen y.	0.3166	-0.109	1	362	5108	219
10073	chen z.	0.277	0.1479	1	314	1887	88
10198	cherry e.m.	-0.2494	0.159	6	246	1322	59
10453	choe y.	-0.1861	-0.175	4	260	1540	74
10459	choi c.	1.7327	-0.2644	2	206	2852	60
10498	choi s.	1.1357	-0.2345	2	262	1782	64
10745	chua l.	0.3349	-0.0298	2	339	5424	186
10748	chua l.o.	0.4539	0.004	2	316	3365	124
11531	conti c.	-0.0341	0.7277	5	209	1565	69
11780	cottrell g.w.	-0.5967	-0.6503	3	307	3674	227
11809	courville a.	-0.1721	-0.0725	6	335	2829	148
12520	dambre j.	-0.6845	0.4106	5	311	4424	189
12691	das s.	0.4517	-0.09	2	251	1249	64
12757	datta s.	1.0112	0.1109	2	246	2873	104
12867	dawes j.	-1.0266	0.0305	6	223	1665	73
13248	debbah m.	-0.0235	-0.6823	1	155	1058	126
13571	demiris y.	-0.7189	-0.6828	3	249	2112	144
14050	di ventra m.	0.8052	-0.208	2	206	1312	54
14548	dominey p.f.	-0.4746	-0.255	4	318	5010	220
14797	doya k.	-0.9447	-0.3993	4	257	2014	89
14918	du c.	0.3848	0.297	1	279	1802	86
14971	duan c.	1.106	-0.0804	2	214	1462	52
15844	eleftheriou e.	0.9696	-0.038	2	283	2561	100
15929	elman j.l.	-0.7317	-0.5682	3	238	1533	108
16286	erneux t.	-0.2347	1.3334	5	190	2880	88
16544	everschor-sitte k.	0.4045	0.2673	7	299	3794	141
16832	fan s.	0.2153	0.3536	5	238	1255	55
17297	feng z.	-0.5994	-0.7396	3	222	1148	82
17657	fischer i.	-0.1203	0.5857	5	375	47279	2148
18232	frasconi p.	-0.6132	-0.5118	3	304	2646	146
18901	gallicchio c.	-0.5791	-0.1663	3	284	2242	120
19049	gao f.	0.1165	-0.7258	1	168	1255	110
19357	gauthier d.j.	-0.7821	0.4769	6	342	7136	275
19665	gershenfeld n.a.	-0.886	0.8284	5	196	1591	79
19679	gerstner w.	-0.5704	-0.4695	4	224	2109	124
19949	gigan s.	-0.0665	0.5416	5	302	4011	166
20042	gimzewski j.k.	0.5844	-0.0942	2	312	7105	226
20102	girvan m.	-1.0024	0.3201	6	245	1544	71
20162	glass l.	-0.2138	-0.0113	3	360	4991	251
20454	gomez f.	-1.0883	-0.6666	3	223	1432	73
20945	grebogi c.	-0.8339	0.2598	6	154	1600	72
21122	grollier j.	0.5059	0.2969	7	357	10438	376
21560	guo x.	1.0839	0.2456	2	280	2623	101
21780	haas h.	-0.4595	0.0539	3	376	30717	1986
21885	haffner p.	0.1261	-0.0499	4	297	1759	98
22237	han m.	-0.609	-0.5933	3	299	5133	405
22252	han s.-t.	1.4814	-0.1985	2	275	7516	113
22388	hao k.	-0.6793	-0.4665	3	231	1471	68
22407	hao y.	0.5528	0.7886	5	293	5426	214
22558	harris j.g.	-0.6805	-0.7701	3	284	3702	243
22711	hashimoto t.	0.0238	0.5552	5	317	2691	110
22825	hauser h.	-0.627	-0.238	3	304	2574	127
22886	haycock p.w.	-0.497	-0.4613	3	261	1704	98
22908	haykin s.	-0.9478	-0.4406	3	316	5021	376
23437	hersam m.c.	1.4484	-0.2428	2	222	2868	54
23675	hinaut x.	-0.7724	-0.1392	4	247	1570	97
23699	hinton g.	-0.0057	-0.0437	3	373	8644	451
23744	hirose a.	0.2146	0.1332	7	376	20223	979
23774	hissel d.	-0.1564	-0.7337	1	184	1466	104
24199	hopfield j.j.	-0.0648	-0.2637	4	325	2896	110
24451	hramov a.e.	-0.7485	-0.2137	6	118	1325	97
24592	hu w.	0.7127	0.5	5	278	2997	109
24703	huang j.	0.7488	-0.2433	2	294	2717	132
24735	huang r.	1.4269	-0.1201	2	289	5405	145
24752	huang w.	1.138	-0.0303	2	285	3860	114
24777	huang y.	0.1824	0.1691	1	263	1229	69
25040	hurtado a.	0.1142	1.1178	5	193	1437	67
25153	hwang c.s.	1.6535	-0.1602	2	267	6986	222
25163	hwang h.	1.6787	-0.2545	2	233	6412	158
25505	ielmini d.	1.4585	-0.2311	2	273	4555	131
25799	indiveri g.	0.364	-0.1196	4	289	2218	135
