paperId,title,year,citationCount,cites_per_year,subfield,fieldsOfStudy,doi,landmark,abstract
W3138956109,Reconstructing Complex Cardiac Excitation Waves From Incomplete Data Using Echo State Networks and Convolutional Autoencoders,2021,8,1.6,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.3389/fams.2020.616584,,The mechanical contraction of the pumping heart is driven by electrical excitation waves running across the heart muscle due to the excitable electrophysiology of heart cells. With cardiac arrhythmias these waves turn into stable or chaotic spiral waves (also called rotors) whose observation in the 
W4207069080,A preliminary evaluation of Echo State Networks for Brugada syndrome classification,2021,5,1.0,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/ssci50451.2021.9659966,,"In the present study recurrent neural networks, in particular Echo State Networks (ESNs), have been applied for the prediction of Brugada Syndrome (BrS) from electrocardiogram (ECG) signals. The research lays its foundations in BrAID (Brugada syndrome and Artificial Intelligence applications to Diag"
W3201041109,Approach for short-term wind power prediction via kernel principal component analysis and echo state network optimized by improved particle swarm optimization algorithm,2021,12,2.4,Mathematics & Theory,Engineering; Physical Sciences,https://doi.org/10.1177/01423312211046421,,"In recent years, short-term wind power forecasting has proved to be an effective technology, which can promote the development of industrial informatization and play an important role in solving the control and utilization problems of renewable energy system. However, the application of short-term w"
W3206533023,Novel Gray Orthogonal Echo State Network Integrating the Process Mechanism for Dynamic Soft Sensor Development,2021,8,1.6,Nonlinear Dynamics & Chaos,Engineering; Physical Sciences,https://doi.org/10.1021/acs.iecr.1c02380,,"Polypropylene is an important raw material for producing medical masks. The melt index (MI) is one of the most important quality indexes in the propylene polymerization (PP) production process, but it cannot be physically measured in real time. In consideration of the strong nonlinearity, obvious dy"
W3153401673,Water Quality Prediction Method Based on Transfer Learning and Echo State Network,2021,6,1.2,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1142/s0218126621502625,,"Due to the adjacency effect of space, the water quality information of adjacent monitoring points in the same water area is relevant. However, traditional prediction methods use the historical water quality information of only one monitoring point rather than other nearby monitoring points. It is im"
W3205723197,Adaptive Echo State Network Robot Control with Guaranteed Parameter Convergence,2021,5,1.0,Mathematics & Theory,Computer Science; Physical Sciences,https://doi.org/10.1007/978-3-030-89092-6_53,,
W4248397256,7.5nJ/inference CMOS Echo State Network for Coronary Heart Disease prediction,2021,5,1.0,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/essderc53440.2021.9631777,,"This work presents the first on-chip, mixed-signal echo state network (ESN) for early prediction of heart disease. The ESN comprises an input layer, a non-linear projection (NP) layer, and an output layer. Only the output layer of the ESN requires training. The input layer weights are time-invariant"
W3200983764,Unsupervised Pretraining of Echo State Networks for Onset Detection,2021,3,0.6,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/978-3-030-86383-8_5,,
W3171078540,Grouped Multi-Layer Echo State Networks with Self-Normalizing Activations,2021,4,0.8,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/978-3-030-77961-0_9,,
W3159091620,Regular echo state networks,2021,2,0.4,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1145/3412841.3441983,,"Reservoir computing is a computational paradigm derived from recurrent neural network models. One of its most representative technique is the Echo State Network (ESN), which is usually composed by two salient components: reservoir and readout. The former is responsible by mapping temporal (or sequen"
W3153174199,Echo State Networks and Existing Paradigms for Stock Market Prediction,2021,3,0.6,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1109/esci50559.2021.9396961,,"Stock market is essentially a chaotic and a highly unstable time-series. People have used approaches such as clipping gradient i.e., stopping the gradient from getting too small or too high, via gated recurrent units and LSTM units, to predict the stock prices. However, information is still lost and"
W3175075708,Using Echo State Networks to Approximate Value Functions for Control,2021,3,0.6,Control & Robotics,Computer Science; Physical Sciences,https://doi.org/10.48550/arxiv.2102.06258,,An Echo State Network (ESN) is a type of single-layer recurrent neural network with randomly-chosen internal weights and a trainable output layer. We prove under mild conditions that a sufficiently large Echo State Network can approximate the value function of a broad class of stochastic and determi
W3119499520,Automatic-differentiated Physics-Informed Echo State Network (API-ESN),2021,3,0.6,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/978-3-030-77977-1_25,,
W4206080541,Performance Improvement of FORCE Learning for Chaotic Echo State Networks,2021,3,0.6,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1007/978-3-030-92270-2_23,,
W4200215848,Overview of Echo State Networks using Different Reservoirs and Activation Functions,2021,3,0.6,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/roedunet54112.2021.9637715,,"IoT devices are growing rapidly in number and networks become more complex than ever. Therefore, network traffic prediction is a topic that needs special attention, allowing network administrators to be able to continuously adjust network parameters. This paper is focused on Echo State Networks (ESN"
W3217364894,Optimization of echo state network behavior space based on microbial genetic algorithm,2021,3,0.6,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/ccdc52312.2021.9602533,,"Aiming at the difficulty of selecting the parameters of the echo state network reservoir, this paper proposes a method for optimizing ESN parameters based on behavior space. Its essence is to build an ESN behavior space through generalization rank, kernel rank, and memory capacity, and use microbial"
W3162767499,The Application of Echo State Networks to Atypical Speech Recognition,2021,2,0.4,Signal Processing & Comms,Computer Science; Physical Sciences,,,"Automatic speech recognition (ASR) techniques have improved extensively over the past few years with the rise of new deep learning architectures. Recent sequence-to-sequence models have been shown to have high accuracy by utilizing the attention mechanism, which evaluates and learns the magnitude of"
W3203831891,Dynamic Frequency–Temperature Characteristic Modeling for Quartz Crystal Resonator Based on Improved Echo State Network,2021,4,0.8,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/tuffc.2021.3118929,,"Quartz crystal resonators are the key component of various kinds of electronic systems because they provide the reference frequency source of the system running clocks. However, the frequency stability is often affected by the temperature. Therefore, the frequency-temperature ( f-T ) characteristic "
W3173419186,Recursive Least Squares Policy Control with Echo State Network,2021,2,0.4,Mathematics & Theory,Computer Science; Physical Sciences,https://doi.org/10.1109/icaibd51990.2021.9458984,,"The echo state network (ESN) is a special type of recurrent neural networks for processing the time-series dataset. However, limited by the strong correlation among sequential samples of the agent, ESN-based policy control algorithms are difficult to use the recursive least squares (RLS) algorithm t"
W3204871783,Short-term Traffic Flow Prediction Based on Improved Deep Echo State Network,2021,2,0.4,General RC / ESN Methods,Engineering; Physical Sciences,https://doi.org/10.23919/ccc52363.2021.9550595,,"In order to improve the processing capability of deep echo networks for short-time traffic flow prediction problems, an improved deep echo state network (IDESN) is proposed in this paper. The improved deep echo state network algorithm firstly improves the activation function in the traditional echo "
W3161521320,Continual Learning with Echo State Networks,2021,1,0.2,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.5281/zenodo.5164243,,"Continual Learning (CL) refers to a learning setup where<br> data is non stationary and the model has to learn without forgetting ex-<br> isting knowledge. The study of CL for sequential patterns revolves around<br> trained recurrent networks. In this work, instead, we introduce CL in the<br> contex"
W3195378709,Two-Dimensional Convective Boundary Layer: Numerical Analysis and Echo State Network model,2021,2,0.4,Climate & Earth Sciences,Earth and Planetary Sciences; Physical Sciences,,,"The numerical study of global atmospheric circulation processes requires the parametrization of turbulent buoyancy fluxes in the lower convective boundary layer which typically cannot be resolved by the coarse-scale computational grids. In the present work, a two-dimensional model of a shallow conve"
W4205474427,A New Improved Echo State Network with Multiple Output Layers for Time Series Prediction,2021,2,0.4,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/icrae53653.2021.9657812,,"Through investigating the traditional echo state network, their output structure has only one output layer using the same output weight learning method, such that the networked prediction results is not always reliable. Therefore, a new echo state network with multiple output layers (MOL-ESN) in par"
W3210942307,7.5nJ/inference CMOS Echo State Network for Coronary Heart Disease prediction,2021,2,0.4,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/esscirc53450.2021.9567753,,"This work presents the first on-chip, mixed-signal echo state network (ESN) for early prediction of heart disease. The ESN comprises an input layer, a non-linear projection (NP) layer, and an output layer. Only the output layer of the ESN requires training. The input layer weights are time-invariant"
W3138389757,"Online <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.svg""><mml:mrow><mml:msub><mml:mrow><mml:mi>H</mml:mi></mml:mrow><mml:mrow><mml:mi>∞</mml:mi></mml:mrow></mml:msub></mml:mrow></mml:math> control for continuous-time nonlinear large-scale systems via single echo state network",2021,14,2.8,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1016/j.neucom.2021.03.017,,
W3216623288,Memristor-based Echo State Network and Prediction for Time Series,2021,1,0.2,Physical & Hardware RC,Engineering; Physical Sciences,https://doi.org/10.1109/icnc52316.2021.9608158,,"This paper proposes echo state network based on the memristor and applies it to the prediction of chaotic time series. The memristor is used to replace the connection synapses between neurons in the echo state network reservoir, which improves the prediction performance of the network. A simulation "
W3204147216,Determination of four pesticides in honeysuckle by Echo State Network based on excitation-emission matrix fluorescence spectroscopy technique,2021,3,0.6,General RC / ESN Methods,"Biochemistry, Genetics and Molecular Biology; Life Sciences",https://doi.org/10.1007/s11694-021-01173-5,,
W3129347535,Hybrid Deep-Readout Echo State Network and Support Vector Machine with Feature Selection for Human Activity Recognition,2021,3,0.6,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/978-3-030-72802-1_11,,
W4205591045,A Multi-Reservoir Echo State Network with Multiple-Size Input Time Slices for Nonlinear Time-Series Prediction,2021,2,0.4,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/978-3-030-92270-2_3,,
W3177316496,Households Energy Consumption Forecasting with Echo State Network,2021,1,0.2,General RC / ESN Methods,Engineering; Physical Sciences,https://doi.org/10.1007/978-3-030-73882-2_119,,
W3189475263,Time Series Forecasting Based on Echo State Network Optimized by Improved Particle Swarm Algorithm,2021,3,0.6,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.12677/csa.2021.118212,,
W4200015805,Double echo state network with multiple reservoirs for time-series prediction,2021,1,0.2,Mathematics & Theory,Computer Science; Physical Sciences,https://doi.org/10.1117/12.2626677,,"With the rise of neural networks, Echo state network (ESN) is also added to the queue of the neural network. ESN is a powerful form of reservoir computation, is a new type of recurrent neural network and only need to train the output weights. ESN overcomes the problems of the traditional recursive n"
W3128923370,Forecasting High-Frequency Spatio-Temporal Wind Power with Dimensionally Reduced Echo State Networks,2021,3,0.6,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.48550/arxiv.2102.01141,,"Fast and accurate hourly forecasts of wind speed and power are crucial in quantifying and planning the energy budget in the electric grid. Modeling wind at a high resolution brings forth considerable challenges given its turbulent and highly nonlinear dynamics. In developing countries, where wind fa"
W4205619949,Project 1.A83Rapid High-dimensional Semantic Segmentation With Echo State Networks,2021,2,0.4,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.26226/morressier.608c2248dc2fa1af562471d6,,"The Automotive Research Center is a U.S. Army Center of Excellence for the modeling and simulation of ground vehicles, led by the University of Michigan. We focus on basic scientific problems associated with ground vehicles, including autonomy, management of power and energy within vehicles, mobilit"
W4256731027,Echo State Network Performance Analysis Using Non-random Topologies,2021,1,0.2,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/978-3-030-69774-7_10,,
W4287330370,Robust Optimization and Validation of Echo State Networks for learning\n chaotic dynamics,2021,1,0.2,Nonlinear Dynamics & Chaos,Physics and Astronomy; Physical Sciences,https://doi.org/10.48550/arxiv.2103.03174,,"An approach to the time-accurate prediction of chaotic solutions is by\nlearning temporal patterns from data. Echo State Networks (ESNs), which are a\nclass of Reservoir Computing, can accurately predict the chaotic dynamics well\nbeyond the predictability time. Existing studies, however, also showe"
W3120837937,Prediction of Remaining Useful Life for Aircraft Gas Turbines using Echo State Networks,2021,1,0.2,General RC / ESN Methods,Engineering; Physical Sciences,https://doi.org/10.2514/6.2021-0664,,"View Video Presentation: https://doi.org/10.2514/6.2021-0664.vid Prediction of reliability of components in aircraft can enhance system safety but can also enable decision makers to improve efficiency of processes. A crucial object of maintenance is the engine of the aircraft, which is made of sever"
W3185811889,Maximizing the Generative Performance of Echo State Networks Using the Particle Swarm Optimization,2021,1,0.2,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/jcsse53117.2021.9493824,,"This work reveals the hidden potential of two Echo State Networks (ESNs) in time-series generation tasks. The first system is a typical ESN with all-to-all connection weights. The latter possess sparse reservoir's connectivity and a limited number of input-output connections, or an Economy ESN (EcoE"
W3158925886,Implementation and evaluation of an echo state network for a quality inspection system for laser welding,2021,1,0.2,Photonics & Optics,Computer Science; Physical Sciences,https://doi.org/10.1016/j.procir.2021.03.070,,"Laser welding is a widespread process in series production due to its high welding accuracy and speed. However, performing quality controls manually slows down the manufacturing process and causes high personnel costs combined with potential unreliability. In this paper, various Echo State Network ("
W3212818977,Inferring untrained complex dynamics of delay systems using an adapted echo state network.,2021,1,0.2,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,,,"Caused by finite signal propagation velocities, many complex systems feature time delays that may induce high-dimensional chaotic behavior and make forecasting intricate. Here, we propose an echo state network adaptable to the physics of systems with arbitrary delays. After training the network to f"
W3195992503,An Improved Echo State Network Model for Spatial-Temporal Energy Consumption Prediction in Public Buildings,2021,1,0.2,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/978-981-16-5188-5_7,,
W4297778532,Echo State Network based Symbol Detection in Chaotic Baseband Wireless Communication,2021,1,0.2,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.48550/arxiv.2103.08159,,"In some Internet of Things (IoT) applications, multi-path propagation is a main constraint of communication channel. Recently, the chaotic baseband wireless communication system (CBWCS) is promising to eliminate the inter-symbol interference (ISI) caused by multipath propagation. However, the curren"
W3214945191,Chaotic Time Series Prediction using Three-Dimensional FOA and Echo State Network,2021,1,0.2,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1109/icnc52316.2021.9608484,,"Chaotic time series prediction is critical in the fields of artificial intelligence. Recently, the Echo State Network (ESN) with nonlinear computing capability has been widely used to perform time series prediction tasks. However, the parameters of ESN are needed to vary to application scenarios and"
