id,apc_list.value,apc_paid.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W2076063813,3350,,Jürgen Schmidhuber,https://openalex.org/A5071172037,,CH,Dalle Molle Institute for Artificial Intelligence Research|Università della Svizzera italiana,https://openalex.org/I2614128279|https://openalex.org/I57201433,True,,0.99997701,17855,https://openalex.org/I2614128279|https://openalex.org/I57201433,Deep learning in neural networks: An overview,https://doi.org/10.1016/j.neunet.2014.09.003,European Commission,773.8298,https://pubmed.ncbi.nlm.nih.gov/25462637,False,en,True,green,Neural Networks,https://openalex.org/S123019304,0893-6080,journal,Neural Networks and Applications,2014-10-13,2014,review
https://openalex.org/W2118706537,,,Herbert Jaeger|Harald Haas,https://openalex.org/A5040645242|https://openalex.org/A5074320996,https://orcid.org/0000-0002-1230-4963|https://orcid.org/0000-0001-9705-2701,DE|KH|DE|KH,Hochschule Bremen|University of Bremen|International University|Hochschule Bremen|University of Bremen|International University,https://openalex.org/I166433441|https://openalex.org/I180437899|https://openalex.org/I883909435|https://openalex.org/I166433441|https://openalex.org/I180437899|https://openalex.org/I883909435,True|False,,0.99870329,3737,https://openalex.org/I166433441|https://openalex.org/I180437899|https://openalex.org/I883909435,Harnessing Nonlinearity: Predicting Chaotic Systems and Saving Energy in Wireless Communication,https://doi.org/10.1126/science.1091277,,47.6432,https://pubmed.ncbi.nlm.nih.gov/15064413,False,en,False,closed,Science,https://openalex.org/S3880285,0036-8075,journal,Neural Networks and Reservoir Computing,2004-04-01,2004,article
https://openalex.org/W2171865010,3300,,Mantas Lukoševičius|Herbert Jaeger,https://openalex.org/A5060855236|https://openalex.org/A5040645242,https://orcid.org/0000-0001-7963-285X|https://orcid.org/0000-0002-1230-4963,DE|DE,Constructor University|Constructor University,https://openalex.org/I193619901|https://openalex.org/I193619901,True|False,,0.99946362,2867,https://openalex.org/I193619901,Reservoir computing approaches to recurrent neural network training,https://doi.org/10.1016/j.cosrev.2009.03.005,,71.8286,,False,en,False,closed,Computer Science Review,https://openalex.org/S73121659,1574-0137,journal,Neural Networks and Reservoir Computing,2009-05-14,2009,article
https://openalex.org/W2887258823,3350,3350,Gouhei Tanaka|Toshiyuki Yamane|J. B. Héroux|Ryosho Nakane|Naoki Kanazawa|Seiji Takeda|Hidetoshi Numata|Daiju Nakano|Akira Hirose,https://openalex.org/A5025420478|https://openalex.org/A5014529674|https://openalex.org/A5111623204|https://openalex.org/A5085544355|https://openalex.org/A5019808935|https://openalex.org/A5002127145|https://openalex.org/A5111508522|https://openalex.org/A5036023447|https://openalex.org/A5075783559,https://orcid.org/0000-0002-6223-4406|https://orcid.org/0000-0002-8796-3007||https://orcid.org/0000-0002-9059-9349|https://orcid.org/0000-0002-4192-5558|https://orcid.org/0000-0002-7442-1997|||https://orcid.org/0000-0002-6936-9733,JP|JP|JP|JP|JP|JP|JP|JP|JP,The University of Tokyo|IBM Research - Tokyo|IBM Research - Tokyo|The University of Tokyo|IBM Research - Tokyo|IBM Research - Tokyo|IBM Research - Tokyo|IBM Research - Tokyo|The University of Tokyo,https://openalex.org/I74801974|https://openalex.org/I4210145865|https://openalex.org/I4210145865|https://openalex.org/I74801974|https://openalex.org/I4210145865|https://openalex.org/I4210145865|https://openalex.org/I4210145865|https://openalex.org/I4210145865|https://openalex.org/I74801974,True|False|False|False|False|False|False|False|False,cc-by,0.99955559,1979,https://openalex.org/I74801974,Recent advances in physical reservoir computing: A review,https://doi.org/10.1016/j.neunet.2019.03.005,New Energy and Industrial Technology Development Organization|New Energy and Industrial Technology Development Organization|Japan Society for the Promotion of Science,96.5389,https://pubmed.ncbi.nlm.nih.gov/30981085,False,en,True,hybrid,Neural Networks,https://openalex.org/S123019304,0893-6080,journal,Neural Networks and Reservoir Computing,2019-03-20,2019,review
https://openalex.org/W2033708181,9750,,Mattia Rigotti|Omri Barak|Melissa R. Warden|Xiao‐Jing Wang|Nathaniel D. Daw|Earl K. Miller|Stefano Fusi,https://openalex.org/A5081069627|https://openalex.org/A5031724343|https://openalex.org/A5079209663|https://openalex.org/A5101509100|https://openalex.org/A5029249257|https://openalex.org/A5084251670|https://openalex.org/A5071051042,https://orcid.org/0000-0001-6466-2810|https://orcid.org/0000-0002-7894-6344|https://orcid.org/0000-0003-2240-3997|https://orcid.org/0000-0003-3124-8474|https://orcid.org/0000-0001-5029-1430|https://orcid.org/0000-0002-0582-6958|https://orcid.org/0000-0002-3035-6652,US|US|US|US|US|US|US,New York University|Columbia University|Columbia University|Massachusetts Institute of Technology|Stanford University|New York University|Yale University|New York University|Massachusetts Institute of Technology|Columbia University,https://openalex.org/I57206974|https://openalex.org/I78577930|https://openalex.org/I78577930|https://openalex.org/I63966007|https://openalex.org/I97018004|https://openalex.org/I57206974|https://openalex.org/I32971472|https://openalex.org/I57206974|https://openalex.org/I63966007|https://openalex.org/I78577930,True|False|False|False|False|False|False,,0.99933055,1775,https://openalex.org/I57206974|https://openalex.org/I78577930,The importance of mixed selectivity in complex cognitive tasks,https://doi.org/10.1038/nature12160,,39.1906,https://pubmed.ncbi.nlm.nih.gov/23685452,False,en,True,green,Nature,https://openalex.org/S137773608,0028-0836,journal,Neural dynamics and brain function,2013-05-01,2013,article
https://openalex.org/W1977664984,3920,3920,Lennert Appeltant|Miguel C. Soriano|Guy Van der Sande|Jan Danckaert|Serge Massar|Joni Dambre|Benjamin Schrauwen|Cláudio R. Mirasso|Ingo Fischer,https://openalex.org/A5061203025|https://openalex.org/A5034369995|https://openalex.org/A5076190433|https://openalex.org/A5038836783|https://openalex.org/A5024306150|https://openalex.org/A5003710781|https://openalex.org/A5066537128|https://openalex.org/A5075774125|https://openalex.org/A5032100324,|https://orcid.org/0000-0002-6140-8451|https://orcid.org/0000-0002-6724-2587|https://orcid.org/0000-0002-7204-0031|https://orcid.org/0000-0002-4381-2485|https://orcid.org/0000-0002-9373-1210||https://orcid.org/0000-0003-2980-7038|https://orcid.org/0000-0003-1881-9842,BE|ES|BE|BE|BE|BE|BE|ES|ES,Vrije Universiteit Brussel|Institute for Cross-Disciplinary Physics and Complex Systems|Consejo Superior de Investigaciones Científicas|Universitat de les Illes Balears|Vrije Universiteit Brussel|Vrije Universiteit Brussel|Université Libre de Bruxelles|Ghent University|Ghent University|Consejo Superior de Investigaciones Científicas|Universitat de les Illes Balears|Institute for Cross-Disciplinary Physics and Complex Systems|Institute for Cross-Disciplinary Physics and Complex Systems|Universitat de les Illes Balears|Consejo Superior de Investigaciones Científicas,https://openalex.org/I13469542|https://openalex.org/I4210095952|https://openalex.org/I134820265|https://openalex.org/I50441567|https://openalex.org/I13469542|https://openalex.org/I13469542|https://openalex.org/I132053463|https://openalex.org/I32597200|https://openalex.org/I32597200|https://openalex.org/I134820265|https://openalex.org/I50441567|https://openalex.org/I4210095952|https://openalex.org/I4210095952|https://openalex.org/I50441567|https://openalex.org/I134820265,True|False|False|False|False|False|False|False|False,cc-by-nc-sa,0.99849864,1638,https://openalex.org/I13469542,Information processing using a single dynamical node as complex system,https://doi.org/10.1038/ncomms1476,Fonds De La Recherche Scientifique - FNRS|Fonds Wetenschappelijk Onderzoek|Ministerio de Ciencia e Innovación|Vlaamse regering,42.0954,https://pubmed.ncbi.nlm.nih.gov/21915110,False,en,True,hybrid,Nature Communications,https://openalex.org/S64187185,2041-1723,journal,Neural Networks and Reservoir Computing,2011-09-13,2011,article
https://openalex.org/W2136719407,,,Auke Jan Ijspeert|Jun Nakanishi|H. Hoffmann|Peter Pástor|Stefan Schaal,https://openalex.org/A5069603317|https://openalex.org/A5103273860|https://openalex.org/A5103394599|https://openalex.org/A5103760848|https://openalex.org/A5107392143,https://orcid.org/0000-0003-1417-9980|https://orcid.org/0000-0001-9026-6440|https://orcid.org/0000-0003-3817-5626||,CH||||DE|JP|US,École Polytechnique Fédérale de Lausanne||||University of Southern California|Max Planck Institute for Intelligent Systems|Advanced Telecommunications Research Institute International,https://openalex.org/I5124864||||https://openalex.org/I1174212|https://openalex.org/I4210135521|https://openalex.org/I4210104143,True|True|True|True|True,,0.99931955,1567,https://openalex.org/I1174212|https://openalex.org/I4210104143|https://openalex.org/I4210135521|https://openalex.org/I5124864,Dynamical Movement Primitives: Learning Attractor Models for Motor Behaviors,https://doi.org/10.1162/neco_a_00393,National Science Foundation|European Commission|FP7 Information and Communication Technologies,41.4747,https://pubmed.ncbi.nlm.nih.gov/23148415,False,en,True,green,Neural Computation,https://openalex.org/S207023548,0899-7667,journal,Model Reduction and Neural Networks,2012-11-13,2012,article
https://openalex.org/W1996874802,9080,,György Buzsáki,https://openalex.org/A5043247282,https://orcid.org/0000-0002-3100-4800,US,"Rutgers, The State University of New Jersey",https://openalex.org/I102322142,True,,0.99811204,1353,https://openalex.org/I102322142,"Neural Syntax: Cell Assemblies, Synapsembles, and Readers",https://doi.org/10.1016/j.neuron.2010.09.023,National Science Foundation|National Institutes of Health,23.637,https://pubmed.ncbi.nlm.nih.gov/21040841,False,en,True,bronze,Neuron,https://openalex.org/S45757444,0896-6273,journal,Neural dynamics and brain function,2010-11-01,2010,review
https://openalex.org/W2798878556,3350,,Amirhossein Tavanaei|Masoud Ghodrati|Saeed Reza Kheradpisheh|Timothée Masquelier|Anthony S. Maida,https://openalex.org/A5065400728|https://openalex.org/A5061993462|https://openalex.org/A5047019835|https://openalex.org/A5005884869|https://openalex.org/A5075357799,https://orcid.org/0000-0002-6482-440X|https://orcid.org/0000-0002-4006-2578|https://orcid.org/0000-0001-6168-4379|https://orcid.org/0000-0001-8629-9506|https://orcid.org/0000-0003-2586-2865,US|AU|IR|FR|US,University of Louisiana at Lafayette|Monash University|Kharazmi University|Centre National de la Recherche Scientifique|Université Fédérale de Toulouse Midi-Pyrénées|Centre de recherche cerveau et cognition|University of Louisiana at Lafayette,https://openalex.org/I79516672|https://openalex.org/I56590836|https://openalex.org/I181744264|https://openalex.org/I1294671590|https://openalex.org/I17866349|https://openalex.org/I4210145991|https://openalex.org/I79516672,True|False|False|False|False,,0.99944555,1325,https://openalex.org/I79516672,Deep learning in spiking neural networks,https://doi.org/10.1016/j.neunet.2018.12.002,,49.9865,https://pubmed.ncbi.nlm.nih.gov/30682710,False,en,True,green,Neural Networks,https://openalex.org/S123019304,0893-6080,journal,Advanced Memory and Neural Computing,2018-12-18,2018,review
https://openalex.org/W2584998015,9750,,Jacob Torrejón|Mathieu Riou|Flavio Abreu Araujo|Sumito Tsunegi|Guru Khalsa|Damien Querlioz|Paolo Bortolotti|Vincent Cros|Kay Yakushiji|Akio Fukushima|Hitoshi Kubota|Shinji Yuasa|M. D. Stiles|Julie Grollier,https://openalex.org/A5091546403||https://openalex.org/A5047549154|https://openalex.org/A5061641022|https://openalex.org/A5000692889|https://openalex.org/A5063819347|https://openalex.org/A5038000502|https://openalex.org/A5038274179|https://openalex.org/A5075158930|https://openalex.org/A5045226685|https://openalex.org/A5086456633|https://openalex.org/A5068810193|https://openalex.org/A5007155880|https://openalex.org/A5035082537,https://orcid.org/0000-0003-0410-6075||https://orcid.org/0000-0001-7157-3197|https://orcid.org/0000-0003-3357-1507|https://orcid.org/0000-0003-2747-0486|https://orcid.org/0000-0002-0295-1008|https://orcid.org/0000-0002-0892-0368|https://orcid.org/0000-0003-0272-3651|https://orcid.org/0000-0002-1616-1613|https://orcid.org/0000-0002-0769-7897|https://orcid.org/0000-0002-2362-3505|https://orcid.org/0000-0003-1093-9057|https://orcid.org/0000-0001-8238-4156|https://orcid.org/0000-0003-4866-4490,FR|FR|FR|JP|US|FR|FR|FR|JP|JP|JP|JP|US|FR,Université Paris-Sud|Centre National de la Recherche Scientifique|Université Paris-Saclay|Laboratoire Albert Fert|Université Paris-Sud|Centre National de la Recherche Scientifique|Université Paris-Saclay|Laboratoire Albert Fert|Université Paris-Sud|Centre National de la Recherche Scientifique|Université Paris-Saclay|Laboratoire Albert Fert|National Institute of Advanced Industrial Science and Technology|National Institute of Standards and Technology|Center for Nanoscale Science and Technology|Université Paris-Sud|Centre National de la Recherche Scientifique|Université Paris-Saclay|Centre de Nanosciences et de Nanotechnologies|Université Paris-Sud|Centre National de la Recherche Scientifique|Université Paris-Saclay|Laboratoire Albert Fert|Université Paris-Sud|Centre National de la Recherche Scientifique|Université Paris-Saclay|Laboratoire Albert Fert|National Institute of Advanced Industrial Science and Technology|National Institute of Advanced Industrial Science and Technology|National Institute of Advanced Industrial Science and Technology|National Institute of Advanced Industrial Science and Technology|National Institute of Standards and Technology|Center for Nanoscale Science and Technology|Université Paris-Sud|Centre National de la Recherche Scientifique|Université Paris-Saclay|Laboratoire Albert Fert,https://openalex.org/I102197404|https://openalex.org/I1294671590|https://openalex.org/I277688954|https://openalex.org/I4210120156|https://openalex.org/I102197404|https://openalex.org/I1294671590|https://openalex.org/I277688954|https://openalex.org/I4210120156|https://openalex.org/I102197404|https://openalex.org/I1294671590|https://openalex.org/I277688954|https://openalex.org/I4210120156|https://openalex.org/I73613424|https://openalex.org/I1321296531|https://openalex.org/I4210094722|https://openalex.org/I102197404|https://openalex.org/I1294671590|https://openalex.org/I277688954|https://openalex.org/I4210100562|https://openalex.org/I102197404|https://openalex.org/I1294671590|https://openalex.org/I277688954|https://openalex.org/I4210120156|https://openalex.org/I102197404|https://openalex.org/I1294671590|https://openalex.org/I277688954|https://openalex.org/I4210120156|https://openalex.org/I73613424|https://openalex.org/I73613424|https://openalex.org/I73613424|https://openalex.org/I73613424|https://openalex.org/I1321296531|https://openalex.org/I4210094722|https://openalex.org/I102197404|https://openalex.org/I1294671590|https://openalex.org/I277688954|https://openalex.org/I4210120156,True|False|False|False|False|False|False|False|False|False|False|False|False|False,other-oa,0.99927779,1319,https://openalex.org/I102197404|https://openalex.org/I1294671590|https://openalex.org/I277688954|https://openalex.org/I4210120156,Neuromorphic computing with nanoscale spintronic oscillators,https://doi.org/10.1038/nature23011,Federal Aviation Administration,82.9423,https://pubmed.ncbi.nlm.nih.gov/28748930,False,en,True,green,Nature,https://openalex.org/S137773608,0028-0836,journal,Neural Networks and Reservoir Computing,2017-07-01,2017,article
